date,year,month,region,region_label,longitude,latitude,sst_anomaly,enso_phase,source
1996-11,1996,11,western_pacific,Western Pacific,145,0,0.850,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-11,1996,11,central_pacific,Central Pacific,190,0,0.739,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-11,1996,11,nino_34,Nino 3.4,210,0,1.126,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-11,1996,11,eastern_pacific,Eastern Pacific,250,0,1.006,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-12,1996,12,western_pacific,Western Pacific,145,0,0.421,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-12,1996,12,central_pacific,Central Pacific,190,0,0.576,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-12,1996,12,nino_34,Nino 3.4,210,0,0.864,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-12,1996,12,eastern_pacific,Eastern Pacific,250,0,0.831,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-01,1997,1,western_pacific,Western Pacific,145,0,0.320,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-01,1997,1,central_pacific,Central Pacific,190,0,0.483,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-01,1997,1,nino_34,Nino 3.4,210,0,0.779,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-01,1997,1,eastern_pacific,Eastern Pacific,250,0,0.538,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-02,1997,2,western_pacific,Western Pacific,145,0,0.951,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-02,1997,2,central_pacific,Central Pacific,190,0,1.027,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-02,1997,2,nino_34,Nino 3.4,210,0,0.633,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-02,1997,2,eastern_pacific,Eastern Pacific,250,0,0.072,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-03,1997,3,western_pacific,Western Pacific,145,0,0.653,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-03,1997,3,central_pacific,Central Pacific,190,0,1.011,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-03,1997,3,nino_34,Nino 3.4,210,0,0.659,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-03,1997,3,eastern_pacific,Eastern Pacific,250,0,0.454,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-04,1997,4,western_pacific,Western Pacific,145,0,0.744,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-04,1997,4,central_pacific,Central Pacific,190,0,1.088,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-04,1997,4,nino_34,Nino 3.4,210,0,1.047,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-04,1997,4,eastern_pacific,Eastern Pacific,250,0,0.444,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-05,1997,5,western_pacific,Western Pacific,145,0,0.793,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
